Zone,District,Fiscal Month Number,Year,Month,Diversion Rate-Total,Diversion Rate-Total LOG
Manhattan,MN12,11,2019,5,16.37,1.21
Queens East,QE07,11,2019,5,19.42,1.29
Queens East,QE08,11,2019,5,15.97,1.20
Queens East,QE10,11,2019,5,18.02,1.26
Queens East,QE11,11,2019,5,23.34,1.37
Queens East,QE12,11,2019,5,13.08,1.12
Queens East,QE13,11,2019,5,20.28,1.31
Queens East,QE14,11,2019,5,13.63,1.13
Queens West,QW01,11,2019,5,18.77,1.27
Queens West,QW02,11,2019,5,20.44,1.31
Queens West,QW03,11,2019,5,13.38,1.13
Queens West,QW04,11,2019,5,14.37,1.16
Queens West,QW05,11,2019,5,22.93,1.36
Queens West,QW06,11,2019,5,19.66,1.29
Queens West,QW09,11,2019,5,21.42,1.33
Staten Island,SI01,11,2019,5,19.96,1.30
Staten Island,SI02,11,2019,5,17.91,1.25
Staten Island,SI03,11,2019,5,18.91,1.28
Brooklyn North,BKN01,5,2019,11,15.89,1.20
Brooklyn North,BKN02,5,2019,11,21.23,1.33
Brooklyn North,BKN03,5,2019,11,12.09,1.08
Brooklyn North,BKN04,5,2019,11,15.17,1.18
Brooklyn North,BKN05,5,2019,11,10.43,1.02
Brooklyn North,BKN08,5,2019,11,17.12,1.23
Brooklyn North,BKN09,5,2019,11,14.05,1.15
