Zone,District,Year,Month,Capture Rate-Paper ,Capture Rate-MGP,Capture Rate-Total
Brooklyn South,BKS14,2019,3,32.24,55.80,39.61
Brooklyn South,BKS15,2019,3,44.16,61.02,50.30
Brooklyn South,BKS18,2019,3,29.44,62.03,39.86
Bronx,BX01,2019,3,20.04,24.81,22.18
Bronx,BX02,2019,3,34.58,53.00,42.87
Bronx,BX03,2019,3,26.15,36.94,31.00
Bronx,BX04,2019,3,30.41,48.81,38.69
Bronx,BX05,2019,3,26.76,47.38,36.04
Bronx,BX06,2019,3,36.87,48.19,41.96
Bronx,BX07,2019,3,34.20,62.69,47.02
Bronx,BX08,2019,3,36.98,79.80,50.37
Bronx,BX09,2019,3,22.02,44.70,31.31
Bronx,BX10,2019,3,36.01,79.63,51.89
Bronx,BX11,2019,3,31.62,55.32,40.25
Bronx,BX12,2019,3,30.89,74.11,46.62
Manhattan,MN01,2019,3,45.90,71.51,52.49
Manhattan,MN02,2019,3,40.48,82.60,51.32
Manhattan,MN03,2019,3,40.58,41.96,41.20
Manhattan,MN04,2019,3,33.92,73.47,44.10
Manhattan,MN05,2019,3,34.47,61.56,41.44
Manhattan,MN06,2019,3,33.94,69.09,42.99
Manhattan,MN07,2019,3,41.01,80.07,51.06
Manhattan,MN08,2019,3,42.15,76.66,51.03
Manhattan,MN09,2019,3,55.05,47.82,51.79
Manhattan,MN10,2019,3,39.00,54.72,46.08
Manhattan,MN11,2019,3,38.89,31.14,35.40
Manhattan,MN12,2019,3,43.45,57.46,49.76
Queens East,QE07,2019,3,45.36,67.00,53.24
Queens East,QE08,2019,3,27.34,52.71,34.55
Queens East,QE10,2019,3,32.03,82.02,48.01
Queens East,QE11,2019,3,46.61,82.03,57.93
Queens East,QE12,2019,3,30.81,68.70,46.67
Queens East,QE13,2019,3,28.52,87.95,47.52
Queens East,QE14,2019,3,29.47,40.12,33.34
Queens West,QW01,2019,3,45.42,76.98,56.91
Queens West,QW02,2019,3,45.21,70.86,54.55
Queens West,QW03,2019,3,28.88,62.13,40.99
Queens West,QW04,2019,3,30.46,61.19,41.65
Queens West,QW05,2019,3,42.80,84.90,58.13
Queens West,QW06,2019,3,29.12,69.61,39.54
Queens West,QW09,2019,3,37.97,77.11,52.22
Staten Island,SI01,2019,3,34.86,74.95,47.67
Staten Island,SI02,2019,3,39.43,72.63,50.04
Staten Island,SI03,2019,3,40.49,77.81,52.42
Brooklyn North,BKN01,2019,5,46.91,47.14,47.00
Brooklyn North,BKN02,2019,5,32.56,57.71,39.99
Brooklyn North,BKN03,2019,5,32.64,42.68,36.72
Brooklyn North,BKN04,2019,5,35.02,64.40,46.97
Brooklyn North,BKN05,2019,5,21.68,43.85,30.70
Brooklyn North,BKN08,2019,5,42.53,55.12,47.65
Brooklyn North,BKN09,2019,5,32.79,47.88,38.52
Brooklyn North,BKN16,2019,5,20.83,37.90,27.77
Brooklyn North,BKN17,2019,5,26.83,61.35,39.94
Brooklyn South,BKS06,2019,5,44.36,82.63,55.67
Brooklyn South,BKS07,2019,5,43.98,71.48,54.42
Brooklyn South,BKS10,2019,5,49.73,76.48,59.89
Brooklyn South,BKS11,2019,5,43.32,64.58,51.40
Brooklyn South,BKS12,2019,5,46.86,47.26,47.02
Brooklyn South,BKS13,2019,5,40.17,54.07,46.24
Brooklyn South,BKS14,2019,5,35.77,56.17,42.77
Brooklyn South,BKS15,2019,5,45.62,64.08,52.63
Brooklyn South,BKS18,2019,5,35.92,74.30,49.56
Bronx,BX01,2019,5,19.96,26.17,22.67
Bronx,BX02,2019,5,34.58,60.47,45.89
Bronx,BX03,2019,5,25.48,43.19,33.21
Bronx,BX04,2019,5,31.33,51.67,40.21
Bronx,BX05,2019,5,26.96,50.55,37.26
Bronx,BX06,2019,5,37.69,54.45,45.01
Bronx,BX07,2019,5,34.22,67.31,48.67
Bronx,BX08,2019,5,44.65,81.54,57.30
Bronx,BX09,2019,5,22.76,44.63,31.66
